return_type,return_period,filing_date,total_taxable,total_tax,total_invoices,status,gstin
GSTR1,122024,2025-01-10,,,,,33VCYCP9274PXZK
GSTR2B,122024,2025-01-15,,,,,33VCYCP9274PXZK
GSTR3B,122024,2025-03-15,,,,,33VCYCP9274PXZK
GSTR1,122024,2025-01-07,,,,,09VCYCP9274P5Z3
GSTR2B,122024,2025-01-17,,,,,09VCYCP9274P5Z3
GSTR3B,122024,2025-01-17,,,,,09VCYCP9274P5Z3
GSTR1,122024,2025-01-09,,,,,34UKYPI8225VZZF
GSTR2B,122024,2025-01-15,,,,,34UKYPI8225VZZF
GSTR3B,122024,2025-01-18,,,,,34UKYPI8225VZZF
GSTR1,122024,2025-01-08,,,,,26YWZFS3843P3Z4
GSTR2B,122024,,,,,,26YWZFS3843P3Z4
GSTR3B,122024,2025-01-19,,,,,26YWZFS3843P3Z4
GSTR1,122024,2025-02-21,,,,,10ZICJD5474UMZ1
GSTR2B,122024,2025-01-22,,,,,10ZICJD5474UMZ1
GSTR3B,122024,2025-01-17,,,,,10ZICJD5474UMZ1
GSTR1,122024,,,,,,06JISJR0069HKZG
GSTR2B,122024,2025-01-16,,,,,06JISJR0069HKZG
GSTR3B,122024,2025-01-16,,,,,06JISJR0069HKZG
GSTR1,122024,2025-01-09,,,,,12BUHHN1557FAZ2
GSTR2B,122024,2025-01-20,,,,,12BUHHN1557FAZ2
GSTR3B,122024,2025-01-16,,,,,12BUHHN1557FAZ2
GSTR1,122024,2025-01-08,,,,,20QLRJJ6143SPZR
GSTR2B,122024,2025-01-20,,,,,20QLRJJ6143SPZR
GSTR3B,122024,2025-01-15,,,,,20QLRJJ6143SPZR
GSTR1,122024,2025-01-06,,,,,04CJJGW2962SNZ4
GSTR2B,122024,2025-01-30,,,,,04CJJGW2962SNZ4
GSTR3B,122024,2025-01-18,,,,,04CJJGW2962SNZ4
GSTR1,122024,2025-01-07,,,,,24EGTCU0607B9ZY
GSTR2B,122024,,,,,,24EGTCU0607B9ZY
GSTR3B,122024,2025-01-20,,,,,24EGTCU0607B9ZY
GSTR1,122024,2025-01-09,,,,,22WJNGF2848XQZL
GSTR2B,122024,2025-01-15,,,,,22WJNGF2848XQZL
GSTR3B,122024,2025-01-19,,,,,22WJNGF2848XQZL
GSTR1,122024,2025-01-08,,,,,26WJNGF2848X6ZX
GSTR2B,122024,,,,,,26WJNGF2848X6ZX
GSTR3B,122024,2025-01-15,,,,,26WJNGF2848X6ZX
GSTR1,112024,2024-12-06,,,,,10ZICJD5474UMZ1
GSTR2B,112024,2024-12-17,,,,,10ZICJD5474UMZ1
GSTR3B,112024,2024-12-15,,,,,10ZICJD5474UMZ1
GSTR1,112024,2024-12-11,,,,,06JISJR0069HKZG
GSTR2B,112024,2024-12-26,,,,,06JISJR0069HKZG
GSTR3B,112024,2025-01-30,,,,,06JISJR0069HKZG
GSTR1,112024,2024-12-06,,,,,12BUHHN1557FAZ2
GSTR2B,112024,2024-12-20,,,,,12BUHHN1557FAZ2
GSTR3B,112024,2024-12-18,,,,,12BUHHN1557FAZ2
GSTR1,112024,2024-12-11,,,,,20QLRJJ6143SPZR
GSTR2B,112024,2024-12-15,,,,,20QLRJJ6143SPZR
GSTR3B,112024,2024-12-20,,,,,20QLRJJ6143SPZR
GSTR1,112024,2024-12-06,,,,,04CJJGW2962SNZ4
GSTR2B,112024,2024-12-18,,,,,04CJJGW2962SNZ4
GSTR3B,112024,2024-12-20,,,,,04CJJGW2962SNZ4
GSTR1,112024,2024-12-06,,,,,24EGTCU0607B9ZY
GSTR2B,112024,2024-12-15,,,,,24EGTCU0607B9ZY
GSTR3B,112024,2024-12-17,,,,,24EGTCU0607B9ZY
GSTR1,112024,2024-12-10,,,,,22WJNGF2848XQZL
GSTR2B,112024,2024-12-17,,,,,22WJNGF2848XQZL
GSTR3B,112024,2024-12-19,,,,,22WJNGF2848XQZL
GSTR1,112024,2024-12-09,,,,,26WJNGF2848X6ZX
GSTR2B,112024,2024-12-17,,,,,26WJNGF2848X6ZX
GSTR3B,112024,2024-12-18,,,,,26WJNGF2848X6ZX
GSTR1,112024,2024-12-11,,,,,03QAHFE7680NZZM
GSTR2B,112024,2024-12-19,,,,,03QAHFE7680NZZM
GSTR3B,112024,2024-12-16,,,,,03QAHFE7680NZZM
GSTR1,112024,2024-12-06,,,,,06LHWCW4227D3ZC
GSTR2B,112024,2025-02-17,,,,,06LHWCW4227D3ZC
GSTR3B,112024,2024-12-16,,,,,06LHWCW4227D3ZC
GSTR1,112024,2024-12-06,,,,,05NZJPJ8685W7ZH
GSTR2B,112024,,,,,,05NZJPJ8685W7ZH
GSTR3B,112024,2024-12-18,,,,,05NZJPJ8685W7ZH
GSTR1,112024,2024-12-11,,,,,33NZJPJ8685WOZ1
GSTR2B,112024,2024-12-18,,,,,33NZJPJ8685WOZ1
GSTR3B,112024,2024-12-16,,,,,33NZJPJ8685WOZ1
GSTR1,112024,2024-12-06,,,,,15JRSBT6524ILZ6
GSTR2B,112024,2024-12-15,,,,,15JRSBT6524ILZ6
GSTR3B,112024,2024-12-17,,,,,15JRSBT6524ILZ6
GSTR1,112024,2024-12-07,,,,,05JRSBT6524IEZE
GSTR2B,112024,2025-01-26,,,,,05JRSBT6524IEZE
GSTR3B,112024,2024-12-15,,,,,05JRSBT6524IEZE
GSTR1,112024,2025-01-12,,,,,37OSFJM8611XFZ8
GSTR2B,112024,2024-12-18,,,,,37OSFJM8611XFZ8
GSTR3B,112024,2024-12-20,,,,,37OSFJM8611XFZ8
GSTR1,112024,2024-12-07,,,,,32DMTBE6740M8Z7
GSTR2B,112024,2024-12-17,,,,,32DMTBE6740M8Z7
GSTR3B,112024,2024-12-16,,,,,32DMTBE6740M8Z7
GSTR1,112024,2024-12-11,,,,,35NGQBJ4498IXZA
GSTR2B,112024,2025-01-14,,,,,35NGQBJ4498IXZA
GSTR3B,112024,2024-12-16,,,,,35NGQBJ4498IXZA
GSTR1,112024,2024-12-11,,,,,10NGQBJ4498IOZV
GSTR2B,112024,2025-02-15,,,,,10NGQBJ4498IOZV
GSTR3B,112024,2024-12-18,,,,,10NGQBJ4498IOZV
GSTR1,112024,2024-12-11,,,,,20OUNAT3098ZWZV
GSTR2B,112024,2025-02-12,,,,,20OUNAT3098ZWZV
GSTR3B,112024,2024-12-17,,,,,20OUNAT3098ZWZV
GSTR1,112024,,,,,,13ZNDJR1569RGZM
GSTR2B,112024,,,,,,13ZNDJR1569RGZM
GSTR3B,112024,,,,,,13ZNDJR1569RGZM
GSTR1,112024,2024-12-09,,,,,34OPAAH0035IGZK
GSTR2B,112024,2024-12-20,,,,,34OPAAH0035IGZK
GSTR3B,112024,2024-12-19,,,,,34OPAAH0035IGZK
GSTR1,112024,,,,,,07UECLL4476UDZZ
GSTR2B,112024,2024-12-15,,,,,07UECLL4476UDZZ
GSTR3B,112024,2024-12-15,,,,,07UECLL4476UDZZ
GSTR1,112024,2024-12-09,,,,,01DEMBO8806RVZQ
GSTR2B,112024,2024-12-18,,,,,01DEMBO8806RVZQ
GSTR3B,112024,2024-12-17,,,,,01DEMBO8806RVZQ
GSTR1,112024,2024-12-08,,,,,34KBJLI9726XZZJ
GSTR2B,112024,,,,,,34KBJLI9726XZZJ
GSTR3B,112024,2024-12-17,,,,,34KBJLI9726XZZJ
GSTR1,112024,2024-12-10,,,,,16IBMPF0580C3ZS
GSTR2B,112024,2024-12-18,,,,,16IBMPF0580C3ZS
GSTR3B,112024,2024-12-18,,,,,16IBMPF0580C3ZS
GSTR1,112024,2024-12-11,,,,,20KPNGG6321U7ZL
GSTR2B,112024,2024-12-19,,,,,20KPNGG6321U7ZL
GSTR3B,112024,2024-12-18,,,,,20KPNGG6321U7ZL
GSTR1,112024,2024-12-09,,,,,36FGYBH3187T9ZK
GSTR2B,112024,,,,,,36FGYBH3187T9ZK
GSTR3B,112024,,,,,,36FGYBH3187T9ZK
GSTR1,112024,2024-12-11,,,,,07FGYBH3187TAZK
GSTR2B,112024,2024-12-24,,,,,07FGYBH3187TAZK
GSTR3B,112024,2024-12-17,,,,,07FGYBH3187TAZK
GSTR1,112024,2024-12-08,,,,,18PSFGQ4980NTZ8
GSTR2B,112024,2024-12-20,,,,,18PSFGQ4980NTZ8
GSTR3B,112024,2024-12-16,,,,,18PSFGQ4980NTZ8
GSTR1,112024,2024-12-08,,,,,20LABCR0354BEZN
GSTR2B,112024,2025-02-02,,,,,20LABCR0354BEZN
GSTR3B,112024,2024-12-18,,,,,20LABCR0354BEZN
GSTR1,112024,2024-12-08,,,,,07LABCR0354BNZ2
GSTR2B,112024,2024-12-16,,,,,07LABCR0354BNZ2
GSTR3B,112024,2025-01-25,,,,,07LABCR0354BNZ2
GSTR1,112024,2024-12-10,,,,,12WKQCH8988A7ZW
GSTR2B,112024,2024-12-19,,,,,12WKQCH8988A7ZW
GSTR3B,112024,,,,,,12WKQCH8988A7ZW
GSTR1,112024,2024-12-07,,,,,27BMFJL3720GXZO
GSTR2B,112024,2024-12-15,,,,,27BMFJL3720GXZO
GSTR3B,112024,,,,,,27BMFJL3720GXZO
GSTR1,112024,2025-02-08,,,,,23ZNYBI1921NDZD
GSTR2B,112024,2024-12-16,,,,,23ZNYBI1921NDZD
GSTR3B,112024,2024-12-15,,,,,23ZNYBI1921NDZD
GSTR1,112024,2024-12-06,,,,,22SAYPV7763CRZW
GSTR2B,112024,,,,,,22SAYPV7763CRZW
GSTR3B,112024,2024-12-19,,,,,22SAYPV7763CRZW
GSTR1,112024,2024-12-11,,,,,20SOELV7154AUZ7
GSTR2B,112024,2024-12-17,,,,,20SOELV7154AUZ7
GSTR3B,112024,2024-12-15,,,,,20SOELV7154AUZ7
GSTR1,112024,2024-12-07,,,,,16RNUCV0563YVZX
GSTR2B,112024,2024-12-15,,,,,16RNUCV0563YVZX
GSTR3B,112024,2025-01-14,,,,,16RNUCV0563YVZX
GSTR1,112024,2024-12-11,,,,,01TLXTG7331WGZ2
GSTR2B,112024,2024-12-19,,,,,01TLXTG7331WGZ2
GSTR3B,112024,2024-12-17,,,,,01TLXTG7331WGZ2
GSTR1,112024,2024-12-08,,,,,35DDMPR5986XVZY
GSTR2B,112024,,,,,,35DDMPR5986XVZY
GSTR3B,112024,2024-12-15,,,,,35DDMPR5986XVZY
GSTR1,112024,2024-12-07,,,,,22TVHPP6202IAZZ
GSTR2B,112024,2024-12-15,,,,,22TVHPP6202IAZZ
GSTR3B,112024,2024-12-18,,,,,22TVHPP6202IAZZ
GSTR1,112024,2024-12-06,,,,,02BKOLB2495WPZY
GSTR2B,112024,2024-12-18,,,,,02BKOLB2495WPZY
GSTR3B,112024,2024-12-16,,,,,02BKOLB2495WPZY
GSTR1,112024,2024-12-11,,,,,26YKTPZ6224A9ZY
GSTR2B,112024,,,,,,26YKTPZ6224A9ZY
GSTR3B,112024,2024-12-19,,,,,26YKTPZ6224A9ZY
GSTR1,112024,2024-12-09,,,,,02YKTPZ6224AQZR
GSTR2B,112024,2025-02-18,,,,,02YKTPZ6224AQZR
GSTR3B,112024,2025-01-30,,,,,02YKTPZ6224AQZR
GSTR1,112024,,,,,,26RCLJF0323YVZ3
GSTR2B,112024,2024-12-16,,,,,26RCLJF0323YVZ3
GSTR3B,112024,2024-12-19,,,,,26RCLJF0323YVZ3
GSTR1,112024,2024-12-11,,,,,04RCLJF0323YNZH
GSTR2B,112024,2024-12-16,,,,,04RCLJF0323YNZH
GSTR3B,112024,2024-12-17,,,,,04RCLJF0323YNZH
GSTR1,112024,2024-12-08,,,,,08BYBAH1011VBZU
GSTR2B,112024,2024-12-17,,,,,08BYBAH1011VBZU
GSTR3B,112024,2024-12-16,,,,,08BYBAH1011VBZU
GSTR1,112024,2024-12-09,,,,,27ZSUCJ1036MKZT
GSTR2B,112024,2024-12-16,,,,,27ZSUCJ1036MKZT
GSTR3B,112024,2025-01-26,,,,,27ZSUCJ1036MKZT
GSTR1,112024,2024-12-11,,,,,29PDZAL5606ASZ0
GSTR2B,112024,2024-12-17,,,,,29PDZAL5606ASZ0
GSTR3B,112024,2024-12-17,,,,,29PDZAL5606ASZ0
GSTR1,112024,2024-12-08,,,,,06NQQPY4472HPZ3
GSTR2B,112024,,,,,,06NQQPY4472HPZ3
GSTR3B,112024,2024-12-20,,,,,06NQQPY4472HPZ3
GSTR1,112024,2024-12-07,,,,,01MIMHZ2258RGZ6
GSTR2B,112024,2025-01-02,,,,,01MIMHZ2258RGZ6
GSTR3B,112024,2024-12-18,,,,,01MIMHZ2258RGZ6
GSTR1,112024,2024-12-06,,,,,36QMUBJ2635PUZU
GSTR2B,112024,2024-12-15,,,,,36QMUBJ2635PUZU
GSTR3B,112024,2024-12-19,,,,,36QMUBJ2635PUZU
GSTR1,112024,2025-01-22,,,,,18GDFBX5712POZS
GSTR2B,112024,2024-12-20,,,,,18GDFBX5712POZS
GSTR3B,112024,2024-12-19,,,,,18GDFBX5712POZS
GSTR1,112024,2024-12-09,,,,,01ANHAR2967D4ZW
GSTR2B,112024,2024-12-20,,,,,01ANHAR2967D4ZW
GSTR3B,112024,2024-12-17,,,,,01ANHAR2967D4ZW
GSTR1,112024,2024-12-11,,,,,06WCBJC5618JFZ7
GSTR2B,112024,2025-01-31,,,,,06WCBJC5618JFZ7
GSTR3B,112024,2024-12-20,,,,,06WCBJC5618JFZ7
GSTR1,112024,2024-12-07,,,,,14JXHTN3667Y5ZQ
GSTR2B,112024,2024-12-16,,,,,14JXHTN3667Y5ZQ
GSTR3B,112024,2024-12-15,,,,,14JXHTN3667Y5ZQ
GSTR1,112024,2024-12-07,,,,,17KRMAH2280H5Z7
GSTR2B,112024,2024-12-17,,,,,17KRMAH2280H5Z7
GSTR3B,112024,2025-01-16,,,,,17KRMAH2280H5Z7
GSTR1,112024,2024-12-08,,,,,21KRMAH2280HJZ4
GSTR2B,112024,2024-12-20,,,,,21KRMAH2280HJZ4
GSTR3B,112024,2024-12-17,,,,,21KRMAH2280HJZ4
GSTR1,112024,2024-12-10,,,,,21MHKGQ5458X2ZE
GSTR2B,112024,2024-12-16,,,,,21MHKGQ5458X2ZE
GSTR3B,112024,2024-12-18,,,,,21MHKGQ5458X2ZE
GSTR1,112024,2024-12-06,,,,,34RHBCP5429NBZ0
GSTR2B,112024,2024-12-17,,,,,34RHBCP5429NBZ0
GSTR3B,112024,,,,,,34RHBCP5429NBZ0
GSTR1,112024,2024-12-10,,,,,35SHYPB4339MYZD
GSTR2B,112024,2024-12-17,,,,,35SHYPB4339MYZD
GSTR3B,112024,2025-02-10,,,,,35SHYPB4339MYZD
GSTR1,112024,2024-12-08,,,,,02TQTFI5946D6ZP
GSTR2B,112024,2024-12-19,,,,,02TQTFI5946D6ZP
GSTR3B,112024,2024-12-17,,,,,02TQTFI5946D6ZP
GSTR1,112024,2024-12-06,,,,,33VCYCP9274PXZK
GSTR2B,112024,2024-12-17,,,,,33VCYCP9274PXZK
GSTR3B,112024,2024-12-20,,,,,33VCYCP9274PXZK
GSTR1,112024,2024-12-08,,,,,09VCYCP9274P5Z3
GSTR2B,112024,2025-01-18,,,,,09VCYCP9274P5Z3
GSTR3B,112024,2024-12-18,,,,,09VCYCP9274P5Z3
GSTR1,112024,2024-12-08,,,,,34UKYPI8225VZZF
GSTR2B,112024,2024-12-20,,,,,34UKYPI8225VZZF
GSTR3B,112024,2025-01-16,,,,,34UKYPI8225VZZF
GSTR1,112024,2024-12-07,,,,,26YWZFS3843P3Z4
GSTR2B,112024,,,,,,26YWZFS3843P3Z4
GSTR3B,112024,2024-12-17,,,,,26YWZFS3843P3Z4
GSTR1,102024,2024-11-08,,,,,16RNUCV0563YVZX
GSTR2B,102024,2024-11-17,,,,,16RNUCV0563YVZX
GSTR3B,102024,2024-11-30,,,,,16RNUCV0563YVZX
GSTR1,102024,2024-11-06,,,,,01TLXTG7331WGZ2
GSTR2B,102024,2024-11-18,,,,,01TLXTG7331WGZ2
GSTR3B,102024,2024-11-19,,,,,01TLXTG7331WGZ2
GSTR1,102024,2024-11-11,,,,,35DDMPR5986XVZY
GSTR2B,102024,2024-11-20,,,,,35DDMPR5986XVZY
GSTR3B,102024,2024-11-20,,,,,35DDMPR5986XVZY
GSTR1,102024,2024-11-11,,,,,22TVHPP6202IAZZ
GSTR2B,102024,2025-01-03,,,,,22TVHPP6202IAZZ
GSTR3B,102024,2024-11-17,,,,,22TVHPP6202IAZZ
GSTR1,102024,2024-12-10,,,,,02BKOLB2495WPZY
GSTR2B,102024,2024-11-20,,,,,02BKOLB2495WPZY
GSTR3B,102024,2024-11-24,,,,,02BKOLB2495WPZY
GSTR1,102024,2024-11-07,,,,,26YKTPZ6224A9ZY
GSTR2B,102024,2024-11-18,,,,,26YKTPZ6224A9ZY
GSTR3B,102024,2024-11-18,,,,,26YKTPZ6224A9ZY
GSTR1,102024,2024-11-09,,,,,02YKTPZ6224AQZR
